user_id,IF_score,OCSVM_score,avg_anomaly_score,rf_attack_ratio,xgb_attack_ratio,rf_avg_confidence,xgb_avg_confidence,agreement_rate,fusion_risk_score
SVS0871,0.5922689694802226,-1.0486983009271384,-0.2282146657234579,0.0,0.0,0.0,0.0,0.0,-3.715590895534138
CSP0197,0.5847252325133783,-1.2562311385739409,-0.3357529530302813,0.0,0.0,0.0,0.0,0.0,-3.1705646719506597
CQH0730,0.5835696602658079,-1.3836129407834732,-0.4000216402588326,0.0,0.0,0.0,0.0,0.0,-2.844837707424022
MAD0753,0.561530736113622,-1.422790083003511,-0.4306296734449444,0.0,0.0,0.0,0.0,0.0,-2.6897098812652565
GMF0738,0.5662557481688023,-1.4878584426810075,-0.4608013472561026,0.0,0.0,0.0,0.0,0.0,-2.536793614433056
BRS0734,0.5638308290373883,-1.5781227965241291,-0.5071459837433705,0.0,0.0,0.0,0.0,0.0,-2.301909436522199
RJB0088,0.5216795699047596,-1.5526776551072998,-0.5154990426012701,0.0,0.0,0.0,0.0,0.0,-2.2595744111214118
QRM0739,0.5928155942481835,-1.6268298136503383,-0.5170071097010775,0.0,0.0,0.0,0.0,0.0,-2.25193121596829
JPW0741,0.5503626496100139,-1.6761815015201096,-0.5629094259550478,0.0,0.0,0.0,0.0,0.0,-2.0192888082437204
RHO0732,0.5375048387186969,-1.7234344550001237,-0.5929648081407133,0.0,0.0,0.0,0.0,0.0,-1.8669619313587096
DSB0731,0.5487041761926292,-1.763268148560182,-0.6072819861837764,0.0,0.0,0.0,0.0,0.0,-1.7943995196204687
BMG0917,0.5478320330671332,-1.7635326535769262,-0.6078503102548964,0.0,0.0,0.0,0.0,0.0,-1.7915191359914233
EZH0736,0.5350003902924623,-1.7539027493195682,-0.609451179513553,0.0,0.0,0.0,0.0,0.0,-1.7834056003535808
OCB0805,0.5434104469073605,-1.7633127940482904,-0.609951173570465,0.0,0.0,0.0,0.0,0.0,-1.780871527331984
PGO0433,0.5422512416317552,-1.763296516959975,-0.61052263766411,0.0,0.0,0.0,0.0,0.0,-1.7779752294210436
FBW0747,0.519933178311099,-1.7428250422472051,-0.6114459319680531,0.0,0.0,0.0,0.0,0.0,-1.7732957834270926
GZC0735,0.5374067138634016,-1.763249711654561,-0.6129214988955797,0.0,0.0,0.0,0.0,0.0,-1.7658173058513813
BWP0202,0.5348922954413401,-1.7629691152968,-0.6140384099277298,0.0,0.0,0.0,0.0,0.0,-1.7601565703386919
RFP0380,0.5319727831312883,-1.7634063648332667,-0.6157167908509893,0.0,0.0,0.0,0.0,0.0,-1.7516501895951646
IBM0671,0.5234758295811573,-1.7628166399706005,-0.6196704051947215,0.0,0.0,0.0,0.0,0.0,-1.7316124565306443
DGF0443,0.5219502475705498,-1.7628139644818102,-0.6204318584556302,0.0,0.0,0.0,0.0,0.0,-1.7277532543281366
COF0120,0.5191375794831175,-1.7633109596463836,-0.6220866900816331,0.0,0.0,0.0,0.0,0.0,-1.7193662262809675
JMH0543,0.5188891314560031,-1.7632430502837872,-0.6221769594138921,0.0,0.0,0.0,0.0,0.0,-1.718908722683889
RNF0765,0.518170680190305,-1.7632510217061657,-0.6225401707579303,0.0,0.0,0.0,0.0,0.0,-1.717067892667329
GDF0704,0.5172066471371722,-1.7629566930154714,-0.6228750229391495,0.0,0.0,0.0,0.0,0.0,-1.715370792738
TTD1000,0.5161385224596436,-1.7632248069459264,-0.6235431422431414,0.0,0.0,0.0,0.0,0.0,-1.7119846262825218
HAM0985,0.515611444433093,-1.763349052421349,-0.623868803994128,0.0,0.0,0.0,0.0,0.0,-1.7103341053494574
KDS0349,0.5153129165984183,-1.7630518589391213,-0.6238694711703515,0.0,0.0,0.0,0.0,0.0,-1.7103307239627286
TLK0993,0.5152273761840205,-1.7631239046136036,-0.6239482642147915,0.0,0.0,0.0,0.0,0.0,-1.7099313845597002
RKF0164,0.5127574781075956,-1.7637552830705283,-0.6254989024814663,0.0,0.0,0.0,0.0,0.0,-1.7020724299511105
EIS0041,0.5086491888477035,-1.7636296446276083,-0.6274902278899526,0.0,0.0,0.0,0.0,0.0,-1.6919799820007682
LCB0664,0.5062775589636794,-1.7632216733604724,-0.6284720571983965,0.0,0.0,0.0,0.0,0.0,-1.6870038685291264
QPM0727,0.4983792017114151,-1.7631039049694122,-0.6323623516289985,0.0,0.0,0.0,0.0,0.0,-1.6672870538462847
KRM0541,0.498198849910869,-1.763099413379592,-0.6324502817343616,0.0,0.0,0.0,0.0,0.0,-1.6668414059336616
MHH0180,0.4974520071165212,-1.7632210109079876,-0.6328845018957332,0.0,0.0,0.0,0.0,0.0,-1.6646406885828173
QNF0205,0.4971000981448838,-1.7636773875287215,-0.6332886446919189,0.0,0.0,0.0,0.0,0.0,-1.6625924095232383
MNC0717,0.4953276936239288,-1.7631770162658529,-0.633924661320962,0.0,0.0,0.0,0.0,0.0,-1.659368946046694
LRR0148,0.4940342472497091,-1.763202191867204,-0.6345839723087474,0.0,0.0,0.0,0.0,0.0,-1.6560274219547724
NCO0666,0.4939222284284899,-1.7633588141187708,-0.6347182928451405,0.0,0.0,0.0,0.0,0.0,-1.6553466577680493
EJW0884,0.4936414791610784,-1.7632272444128647,-0.6347928826258932,0.0,0.0,0.0,0.0,0.0,-1.6549686213724577
BTN0061,0.4926342194609255,-1.7631668153898183,-0.6352662979644463,0.0,0.0,0.0,0.0,0.0,-1.6525692547782889
RSM0277,0.492920293523346,-1.7635801303465344,-0.6353299184115941,0.0,0.0,0.0,0.0,0.0,-1.6522468132282135
